level,algorithm,heuristic,runs,successes,failures,cutoffs,cutoff_reasons,solution_cost_min,solution_cost_median,solution_moves_median,solution_pushes_median,expanded_nodes_median,frontier_size_at_end_median,max_frontier_size_median,elapsed_seconds_median,elapsed_seconds_min,elapsed_seconds_max
levels/experiments/level_02.txt,astar,minimum_matching_manhattan,10,10,0,0,,78.0,78.0,78.0,17.0,30315.0,37.0,1015.0,0.248187895,0.242287709,0.252486042
levels/experiments/level_02.txt,astar,shortest_push_access,10,10,0,0,,78.0,78.0,78.0,17.0,26823.0,190.0,1199.0,1.009643209,0.973522625,1.034033208
levels/experiments/level_02.txt,bfs,null,10,10,0,0,,78.0,78.0,78.0,17.0,30375.0,19.0,866.0,0.17939375,0.176936834,0.182848458
levels/experiments/level_02.txt,dfs,null,10,10,0,0,,174.0,174.0,174.0,27.0,2101.0,94.0,95.0,0.012536042,0.012300458,0.013574167
levels/experiments/level_02.txt,greedy,minimum_matching_manhattan,10,10,0,0,,96.0,96.0,96.0,19.0,756.0,76.0,77.0,0.005792792,0.005696542,0.006215167
levels/experiments/level_02.txt,greedy,shortest_push_access,10,10,0,0,,126.0,126.0,126.0,29.0,22399.0,1621.0,2979.0,0.782601249,0.761854291,0.809920041
levels/experiments/level_03.txt,astar,minimum_matching_manhattan,10,10,0,0,,43.0,43.0,43.0,10.0,43039.0,210.0,3515.0,1.023837959,1.000231208,1.070134583
levels/experiments/level_03.txt,astar,shortest_push_access,10,10,0,0,,43.0,43.0,43.0,10.0,41018.0,844.0,4055.0,1.012701354,0.985575417,1.030324083
levels/experiments/level_03.txt,bfs,null,10,10,0,0,,43.0,43.0,43.0,10.0,43709.0,71.0,2898.0,0.297630375,0.293708875,0.306027541
levels/experiments/level_03.txt,dfs,null,10,10,0,0,,51.0,51.0,51.0,14.0,43449.0,19.0,103.0,0.281903687,0.273560708,0.291805334
levels/experiments/level_03.txt,greedy,minimum_matching_manhattan,10,10,0,0,,47.0,47.0,47.0,10.0,4344.0,1285.0,1291.0,0.119192625,0.1168715,0.123813959
levels/experiments/level_03.txt,greedy,shortest_push_access,10,10,0,0,,83.0,83.0,83.0,22.0,34565.0,5793.0,9151.0,0.888520645,0.872562917,0.935638042
levels/experiments/level_04.txt,astar,minimum_matching_manhattan,10,10,0,0,,54.0,54.0,54.0,20.0,45814.0,2599.0,3114.0,0.410624896,0.402004292,0.425299
levels/experiments/level_04.txt,astar,shortest_push_access,10,10,0,0,,54.0,54.0,54.0,20.0,50582.0,3791.0,4581.0,1.943393374,1.896952542,2.01042925
levels/experiments/level_04.txt,bfs,null,10,10,0,0,,54.0,54.0,54.0,20.0,64687.0,1778.0,3178.0,0.428945104,0.423972916,0.443638625
levels/experiments/level_04.txt,dfs,null,10,10,0,0,,2044.0,2044.0,2044.0,386.0,70252.0,1123.0,1187.0,0.433700833,0.416782708,0.453079583
levels/experiments/level_04.txt,greedy,minimum_matching_manhattan,10,10,0,0,,64.0,64.0,64.0,18.0,867.0,136.0,144.0,0.007158458,0.006890167,0.007418416
levels/experiments/level_04.txt,greedy,shortest_push_access,10,10,0,0,,96.0,96.0,96.0,40.0,5744.0,3064.0,3065.0,0.172927187,0.167682208,0.176698292
